mls_id,locale_id,prod_id,appl_id,frm_id,vartn,srt_seq,cust_lvl,mls_text,grp_nam
change_cmd,US_ENGLISH,"LES",LES,UC-ISSUE_ASSIGNMENT-CREATE_TRIGGERS,"LES",0,10,"Change Command",
create_cmd,US_ENGLISH,"LES",LES,UC-ISSUE_ASSIGNMENT-CREATE_TRIGGERS,"LES",0,10,"Create Command",
remove_cmd,US_ENGLISH,"LES",LES,UC-ISSUE_ASSIGNMENT-CREATE_TRIGGERS,"LES",0,10,"Remove Command",
uc_ossi_obj_grp,US_ENGLISH,"LES",LES,UC-ISSUE_ASSIGNMENT-CREATE_TRIGGERS,"LES",0,10,"Object Group",
uc_ossi_obj_name,US_ENGLISH,"LES",LES,UC-ISSUE_ASSIGNMENT-CREATE_TRIGGERS,"LES",0,10,"Object Name",
